"Time Stamp","Time Zone","Name","PTID","Load"
"02/24/2021 00:00:00","EST","CAPITL",61757,1317.2405
"02/24/2021 00:00:00","EST","CENTRL",61754,1699.5139
"02/24/2021 00:00:00","EST","DUNWOD",61760,556.0968
"02/24/2021 00:00:00","EST","GENESE",61753,986.9978
"02/24/2021 00:00:00","EST","HUD VL",61758,963.1505
"02/24/2021 00:00:00","EST","LONGIL",61762,1924.9215
"02/24/2021 00:00:00","EST","MHK VL",61756,885.4114
"02/24/2021 00:00:00","EST","MILLWD",61759,304.7484
"02/24/2021 00:00:00","EST","N.Y.C.",61761,4778.6523
"02/24/2021 00:00:00","EST","NORTH",61755,648.9642
"02/24/2021 00:00:00","EST","WEST",61752,1546.6376
"02/24/2021 00:05:00","EST","CAPITL",61757,1293.685
"02/24/2021 00:05:00","EST","CENTRL",61754,1721.1177
"02/24/2021 00:05:00","EST","DUNWOD",61760,540.7436
"02/24/2021 00:05:00","EST","GENESE",61753,984.3215
"02/24/2021 00:05:00","EST","HUD VL",61758,950.7278
"02/24/2021 00:05:00","EST","LONGIL",61762,1905.9135
"02/24/2021 00:05:00","EST","MHK VL",61756,876.3792
"02/24/2021 00:05:00","EST","MILLWD",61759,311.7358
"02/24/2021 00:05:00","EST","N.Y.C.",61761,4751.3105
"02/24/2021 00:05:00","EST","NORTH",61755,641.1937
"02/24/2021 00:05:00","EST","WEST",61752,1535.244
"02/24/2021 00:10:00","EST","CAPITL",61757,1299.0994
"02/24/2021 00:10:00","EST","CENTRL",61754,1700.6227
"02/24/2021 00:10:00","EST","DUNWOD",61760,549.8839
"02/24/2021 00:10:00","EST","GENESE",61753,986.592
"02/24/2021 00:10:00","EST","HUD VL",61758,910.9593
"02/24/2021 00:10:00","EST","LONGIL",61762,1899.5569
"02/24/2021 00:10:00","EST","MHK VL",61756,872.0247
"02/24/2021 00:10:00","EST","MILLWD",61759,301.6081
"02/24/2021 00:10:00","EST","N.Y.C.",61761,4728.1353
"02/24/2021 00:10:00","EST","NORTH",61755,617.6459
"02/24/2021 00:10:00","EST","WEST",61752,1518.7396
"02/24/2021 00:15:00","EST","CAPITL",61757,1310.2036
"02/24/2021 00:15:00","EST","CENTRL",61754,1701.6775
"02/24/2021 00:15:00","EST","DUNWOD",61760,546.9208
"02/24/2021 00:15:00","EST","GENESE",61753,987.4149
"02/24/2021 00:15:00","EST","HUD VL",61758,956.4388
"02/24/2021 00:15:00","EST","LONGIL",61762,1890.2662
"02/24/2021 00:15:00","EST","MHK VL",61756,879.8016
"02/24/2021 00:15:00","EST","MILLWD",61759,292.2302
"02/24/2021 00:15:00","EST","N.Y.C.",61761,4713.7407
"02/24/2021 00:15:00","EST","NORTH",61755,635.4668
"02/24/2021 00:15:00","EST","WEST",61752,1523.2704
"02/24/2021 00:20:00","EST","CAPITL",61757,1291.9778
"02/24/2021 00:20:00","EST","CENTRL",61754,1698.4514
"02/24/2021 00:20:00","EST","DUNWOD",61760,555.9758
"02/24/2021 00:20:00","EST","GENESE",61753,981.8945
"02/24/2021 00:20:00","EST","HUD VL",61758,970.874
"02/24/2021 00:20:00","EST","LONGIL",61762,1883.6748
"02/24/2021 00:20:00","EST","MHK VL",61756,896.5481
"02/24/2021 00:20:00","EST","MILLWD",61759,291.6934
"02/24/2021 00:20:00","EST","N.Y.C.",61761,4667.792
"02/24/2021 00:20:00","EST","NORTH",61755,619.4307
"02/24/2021 00:20:00","EST","WEST",61752,1509.5237
"02/24/2021 00:25:00","EST","CAPITL",61757,1289.3826
"02/24/2021 00:25:00","EST","CENTRL",61754,1656.5594
"02/24/2021 00:25:00","EST","DUNWOD",61760,559.8021
"02/24/2021 00:25:00","EST","GENESE",61753,974.9558
"02/24/2021 00:25:00","EST","HUD VL",61758,924.8606
"02/24/2021 00:25:00","EST","LONGIL",61762,1868.48
"02/24/2021 00:25:00","EST","MHK VL",61756,882.3436
"02/24/2021 00:25:00","EST","MILLWD",61759,291.0944
"02/24/2021 00:25:00","EST","N.Y.C.",61761,4670.1436
"02/24/2021 00:25:00","EST","NORTH",61755,610.9766
"02/24/2021 00:25:00","EST","WEST",61752,1515.3506
"02/24/2021 00:30:00","EST","CAPITL",61757,1288.714
"02/24/2021 00:30:00","EST","CENTRL",61754,1703.0396
"02/24/2021 00:30:00","EST","DUNWOD",61760,534.2409
"02/24/2021 00:30:00","EST","GENESE",61753,976.552
"02/24/2021 00:30:00","EST","HUD VL",61758,936.2781
"02/24/2021 00:30:00","EST","LONGIL",61762,1869.7289
"02/24/2021 00:30:00","EST","MHK VL",61756,875.9727
"02/24/2021 00:30:00","EST","MILLWD",61759,279.8278
"02/24/2021 00:30:00","EST","N.Y.C.",61761,4686.481
"02/24/2021 00:30:00","EST","NORTH",61755,625.0234
"02/24/2021 00:30:00","EST","WEST",61752,1505.7734
"02/24/2021 00:35:00","EST","CAPITL",61757,1288.0546
"02/24/2021 00:35:00","EST","CENTRL",61754,1719.9413
"02/24/2021 00:35:00","EST","DUNWOD",61760,544.7511
"02/24/2021 00:35:00","EST","GENESE",61753,974.4728
"02/24/2021 00:35:00","EST","HUD VL",61758,924.3012
"02/24/2021 00:35:00","EST","LONGIL",61762,1859.7456
"02/24/2021 00:35:00","EST","MHK VL",61756,864.5691
"02/24/2021 00:35:00","EST","MILLWD",61759,289.6616
"02/24/2021 00:35:00","EST","N.Y.C.",61761,4661.6455
"02/24/2021 00:35:00","EST","NORTH",61755,633.051
"02/24/2021 00:35:00","EST","WEST",61752,1506.5306
"02/24/2021 00:40:00","EST","CAPITL",61757,1286.1467
"02/24/2021 00:40:00","EST","CENTRL",61754,1706.5867
"02/24/2021 00:40:00","EST","DUNWOD",61760,528.4492
"02/24/2021 00:40:00","EST","GENESE",61753,967.3872
"02/24/2021 00:40:00","EST","HUD VL",61758,951.993
"02/24/2021 00:40:00","EST","LONGIL",61762,1843.4507
"02/24/2021 00:40:00","EST","MHK VL",61756,875.8994
"02/24/2021 00:40:00","EST","MILLWD",61759,284.2789
"02/24/2021 00:40:00","EST","N.Y.C.",61761,4644.3945
"02/24/2021 00:40:00","EST","NORTH",61755,624.0299
"02/24/2021 00:40:00","EST","WEST",61752,1529.4634
"02/24/2021 00:45:00","EST","CAPITL",61757,1273.371
"02/24/2021 00:45:00","EST","CENTRL",61754,1703.5908
"02/24/2021 00:45:00","EST","DUNWOD",61760,531.6821
"02/24/2021 00:45:00","EST","GENESE",61753,973.5831
"02/24/2021 00:45:00","EST","HUD VL",61758,941.1229
"02/24/2021 00:45:00","EST","LONGIL",61762,1825.5203
