name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions
"New York City, NY",2018-01-01T00:00:00,9.2,-5.4,-3.5,55.55,0,,,0,0.27,19.7,11.3,312,1026.5,4.4,9.9,,,0,,Clear
"New York City, NY",2018-01-01T01:00:00,9.2,-5.6,-3.3,55.97,0,,,0,0.24,20.8,11.6,306,1026.7,0,9.9,,,0,,Clear
"New York City, NY",2018-01-01T02:00:00,9.1,-6,-3.5,55.91,0,,,0,0.2,20.2,12,302,1026.9,0,9.9,,,0,,Clear
"New York City, NY",2018-01-01T03:00:00,8.3,-6.2,-3.5,58,0,,,0,0.17,19.7,10.7,308,1027.3,0,9.9,,,0,,Clear
"New York City, NY",2018-01-01T04:00:00,8.1,-5.6,-4.3,56.1,0,,,0,0.13,,9.7,306,1027.3,0,9.9,,,0,,Clear
"New York City, NY",2018-01-01T05:00:00,8.1,-7.3,-4.2,56.53,0,,,0,0.1,20.8,12.1,300,1027.9,0,9.9,,,0,,Clear
"New York City, NY",2018-01-01T06:00:00,7.3,-6.4,-4.2,58.67,0,,,0,0.07,,9.3,316,1027.9,0,9.9,,,0,,Clear
"New York City, NY",2018-01-01T07:00:00,7.2,-8.1,-4.2,,0,,,0,0.03,27.7,11.4,298,1028.2,10.5,9.9,,,0,,Clear
"New York City, NY",2018-01-01T08:00:00,7.5,-6.4,-3.1,,0,,,0,0,19.8,,302,1028.3,4.4,9.9,,,0,,Clear
"New York City, NY",2018-01-01T09:00:00,8.7,-5.9,-2.3,,0,,,0,0,28.7,,298,1028.7,10.5,9.9,,,0,,Clear
"New York City, NY",2018-01-01T10:00:00,11.4,-3.2,-1.9,,0,,,0,0,27.8,,316,1029.1,10.5,9.9,,,0,,Clear
