name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions
"New York City, NY",2020-01-01T00:00:00,41.3,34.3,27.9,58.68,0,,,0,0,22.3,12.2,272,1003.7,91.5,9.9,,,0,,Overcast
"New York City, NY",2020-01-01T01:00:00,39.8,33.3,26.2,57.83,0,,,0,0,24.2,10.3,268,1003.8,88,9.9,,,0,,Partially cloudy
"New York City, NY",2020-01-01T02:00:00,39.2,32.2,27.1,61.4,0,,,0,0,18.5,11,276,1004.1,87.4,9.9,,,0,,Partially cloudy
"New York City, NY",2020-01-01T03:00:00,39.1,31.1,26.2,59.42,0,,,0,0,24.3,13.8,264,1004.5,59.3,9.9,,,0,,Partially cloudy
"New York City, NY",2020-01-01T04:00:00,38.9,31.3,24.2,55.18,0,,,0,0,24.4,12.5,255,1004.9,91.5,9.9,,,0,,Overcast
"New York City, NY",2020-01-01T05:00:00,38,31.8,23.5,55.44,0,,,0,0,20.6,8.7,278,1005,99,9.9,,,0,,Overcast
"New York City, NY",2020-01-01T06:00:00,37.1,31.3,22.6,55.27,0,,,0,0,21.7,7.7,260,1005.5,87.3,9.9,,,0,,Partially cloudy
"New York City, NY",2020-01-01T07:00:00,37.1,29.8,24.6,60.2,0,,,0,0,23,10.7,262,1005.7,93.9,9.9,,,0,,Overcast
"New York City, NY",2020-01-01T08:00:00,37.1,30.3,23.9,58.47,0,,,0,0,19.8,9.6,267,1006.1,84.1,9.9,20,0.1,0,,Partially cloudy
"New York City, NY",2020-01-01T09:00:00,37.3,,,52.84,0,,,0,0,24.2,13.3,266,1007,83.1,9.9,57,0.2,1,,Partially cloudy
"New York City, NY",2020-01-01T10:00:00,38.2,,,49.53,0,,,0,0,26.5,9.7,260,1007.7,83.3,9.9,164,0.6,2,,Partially cloudy
"New York City, NY",2020-01-01T11:00:00,38.5,,,45.02,0,,,0,0,24.8,14.3,277,1007.5,57.3,9.9,241,0.9,2,,Partially cloudy
"New York City, NY",2020-01-01T12:00:00,39.3,,,42.14,0,,,0,0,26.5,15.1,282,1007.1,79.7,9.9,211,0.8,2,,Partially cloudy
"New York City, NY",2020-01-01T13:00:00,38.5,,,44.89,0,,,0,0,27.4,12.6,281,1006.8,93.1,9.9,89,0.3,1,,Overcast
"New York City, NY",2020-01-01T14:00:00,38.4,,,43.3,0,,,0,0,28.2,14,287,1007,93.9,9.9,87,0.3,1,,Overcast
"New York City, NY",2020-01-01T15:00:00,38.4,29.9,18.7,44.64,0,,,0,0,22.4,14.5,283,1007.6,93.9,9.9,68,0.2,1,,Overcast
"New York City, NY",2020-01-01T16:00:00,38.4,30.6,19.1,45.5,0,,,0,0,18.5,12.5,279,1008.4,93.5,9.9,30,0.1,0,,Overcast
"New York City, NY",2020-01-01T17:00:00,38.2,31.7,19.6,46.62,0,,,0,0,21.1,9.4,271,1009.6,90.8,9.9,7,0,0,,Overcast
"New York City, NY",2020-01-01T18:00:00,38,31.2,19.8,47.52,0,,,0,0,19.7,9.9,266,1010.1,95.7,9.9,,,0,,Overcast
