name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions
"New York City, NY",2021-01-01T00:00:00,36,31.8,23.3,,0,,,0,0,,5,348,1029.5,10.5,9.9,,,0,,Clear
"New York City, NY",2021-01-01T01:00:00,35.3,35.3,22.9,,0,,,0,0,,2.9,356,1030.1,10.5,9.9,,,0,,Clear
"New York City, NY",2021-01-01T02:00:00,35.2,30.7,23.4,,0,,,0,0,,5.2,17,1030.9,10.5,9.9,,,0,,Clear
"New York City, NY",2021-01-01T03:00:00,35,30.7,23.6,,0,,,0,0,,4.9,21,1031.4,10.5,9.9,,,0,,Clear
"New York City, NY",2021-01-01T04:00:00,34.5,29.1,22.7,,0,,,0,0,,6.1,30,1031.6,10.5,9.9,,,0,,Clear
"New York City, NY",2021-01-01T05:00:00,33.5,29,23.1,,0,,,0,0,,4.9,19,1031.9,10.5,9.9,,,0,,Clear
"New York City, NY",2021-01-01T06:00:00,33.8,29.5,22.3,,0,,,0,0,,4.7,38,1032.1,10.5,,,,0,,Clear
"New York City, NY",2021-01-01T07:00:00,33.5,28.3,22.2,,0,,,0,0,,5.6,23,1032.8,20.3,,2,0,0,,Partially cloudy
"New York City, NY",2021-01-01T08:00:00,33.5,28.5,22,,0,,,0,0,,5.4,33,1033.4,34.2,,32,0.1,0,,Partially cloudy
"New York City, NY",2021-01-01T09:00:00,34.8,28,21.7,,0,,,0,0,,8.5,35,1033.6,34.2,,105,0.4,1,,Partially cloudy
"New York City, NY",2021-01-01T10:00:00,36.2,29.2,22.2,56.42,0,,,0,0,,9.6,46,1033.6,34.2,,275,1,3,,Partially cloudy
"New York City, NY",2021-01-01T11:00:00,37.3,34.1,23.2,56.26,0,,,0,0,,4.1,36,1033.3,34.5,,222,0.8,2,,Partially cloudy
"New York City, NY",2021-01-01T12:00:00,37.9,33.1,24.4,57.88,0,,,0,0,,6.1,55,1031.2,37.7,,160,0.6,2,,Partially cloudy
"New York City, NY",2021-01-01T13:00:00,38.9,35.9,24.6,56.09,0,,,0,0,,4.2,43,1030.6,37.7,,165,0.6,2,,Partially cloudy
"New York City, NY",2021-01-01T14:00:00,39.1,34.2,26.3,59.67,0,,,0,0,,6.9,56,1029.5,38.4,,124,0.4,1,,Partially cloudy
"New York City, NY",2021-01-01T15:00:00,39.1,35.3,27.2,61.88,0,,,0,0,,5.2,50,,69.2,,56,0.2,1,,Partially cloudy
"New York City, NY",2021-01-01T16:00:00,38.6,35.3,28.4,66.59,0,,,0,0,,4.4,89,,100,,17,0.1,0,,Overcast
"New York City, NY",2021-01-01T17:00:00,37.7,33.1,30.6,75.31,0.01,,,0,0,,5.9,41,,100,,5,0,0,,"Rain, Overcast"
